artifact_dir,experiment_id,git_commit,repetitions,episodes,base_seed,seed_step,noise_per_episode,benign_rate,recurrent_benign_rate,recurrent_benign_profiles,backend_b_drift_profile,swap_enabled,swap_episode,swap_phase1_backend,swap_phase2_backend,blue_schema_mapper,schema_map_min_confidence,schema_cache_scope,schema_adapt_mode,backend_b_alias_mode,mcp_enabled,mcp_tool,llm_provider,gemini_model,anthropic_model,ollama_model,llm_timeout_sec,max_workers,memory_enabled
data/processed/wave_b_minimal/phase_s3_haiku_ablation_clean_w1,phase_s3r_haiku_ablation_clean_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,anthropic,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_qwen_ablation_clean_w1,phase_s3r_qwen_ablation_clean_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,ollama,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_minimal/phase_s3_gemini_b2_threshold060_final_w1,phase_s3_gemini_b2_threshold060_final_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.6,run,contract_first,minimal,True,search_logs,gemini,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_ablation/phase_s0_ablation_static_nomem_w1,phase_s0_ablation_static_nomem_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,static,0.7,run,contract_first,minimal,True,search_logs,anthropic,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,False
data/processed/wave_b_ablation/phase_s1_ablation_gemini_nomem_w1,phase_s1_ablation_gemini_nomem_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,gemini,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,False
data/processed/wave_b_ablation/phase_s1_ablation_haiku_nomem_w1,phase_s1_ablation_haiku_nomem_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,anthropic,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,False
data/processed/wave_b_ablation/phase_s1_ablation_qwen_nomem_w1,phase_s1_ablation_qwen_nomem_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,True,search_logs,ollama,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,False
data/processed/wave_b_ablation/phase_s2_ablation_static_mem_w1,phase_s2_ablation_static_mem_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,static,0.7,run,contract_first,minimal,True,search_logs,anthropic,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,True
data/processed/wave_b_ablation/phase_s4_gemini_nomcp_tier1_w1,phase_s4_gemini_nomcp_tier1_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,False,search_logs,gemini,gemini-2.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_ablation/phase_s4_ablation_haiku_nomcp_w1,phase_s4_ablation_haiku_nomcp_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,False,search_logs,anthropic,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/wave_b_ablation/phase_s4_ablation_qwen_nomcp_w1,phase_s4_ablation_qwen_nomcp_w1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,10,40,21337,100,2000,0.35,0.0,3,hard4,True,20,backend_a,backend_b,dynamic,0.7,run,contract_first,minimal,False,search_logs,ollama,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,30.0,1,
data/processed/recurrent_benign/recurrent_benign_eval_nomem_qwen3_8b_paired_v1,recurrent_benign_eval_nomem_qwen3_8b_paired_v1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,5,20,11337,100,2000,1.0,1.0,3,classic,False,0,backend_a,backend_b,static,0.75,run,contract_first,full,True,search_logs,ollama,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,8.0,1,False
data/processed/recurrent_benign/recurrent_benign_eval_withmem_qwen3_8b_paired_v1,recurrent_benign_eval_withmem_qwen3_8b_paired_v1,dcb08e2bb944b95e09bc6755867dd52c0e5c5e5d,5,20,11337,100,2000,1.0,1.0,3,classic,False,0,backend_a,backend_b,static,0.75,run,contract_first,full,True,search_logs,ollama,gemini-1.5-flash,claude-haiku-4-5,qwen3:8b,8.0,1,True
